SurvRateFemale,Year,Race,Gender,CancerType
0.5589999999999999,1977,All races,females,All cancers
0.55,1980,All races,females,All cancers
0.551,1983,All races,females,All cancers
0.5760000000000001,1986,All races,females,All cancers
0.596,1989,All races,females,All cancers
0.609,1992,All races,females,All cancers
0.618,1995,All races,females,All cancers
0.636,1998,All races,females,All cancers
0.657,2001,All races,females,All cancers
0.669,2006,All races,females,All cancers
0.691,2013,All races,females,All cancers
